trade_id,timestamp,instrument,qty,price,trader_id,venue
T1,2025-12-02T11:30:00,MSFT,35,383.7,TR350,NASDAQ
T2,2025-12-03T12:30:00,AAPL,764,96.12,TR858,BATS
T3,2025-12-04T13:30:00,MSFT,614,239.86,TR130,NASDAQ
T4,2025-12-05T14:30:00,AAPL,248,277.41,TR127,BATS
T5,2025-12-06T15:30:00,AAPL,743,342.45,TR658,NYSE
T6,2025-12-07T10:30:00,AAPL,469,315.17,TR928,NASDAQ
T7,2025-12-08T11:30:00,AAPL,724,240.18,TR384,NASDAQ
T8,2025-12-09T12:30:00,AAPL,990,393.57,TR204,NASDAQ
T9,2025-12-10T13:30:00,TSLA,109,211.54,TR452,BATS
T10,2025-12-01T14:30:00,SPY,836,69.55,TR570,BATS
T11,2025-12-02T15:30:00,MSFT,954,220.34,TR665,NYSE
T12,2025-12-03T10:30:00,NVDA,916,437.77,TR691,NASDAQ
T13,2025-12-04T11:30:00,MSFT,56,347.57,TR891,NYSE
T14,2025-12-05T12:30:00,MSFT,885,154.76,TR203,NYSE
T15,2025-12-06T13:30:00,SPY,474,336.06,TR473,NASDAQ
T16,2025-12-07T14:30:00,SPY,373,144.28,TR373,BATS
T17,2025-12-08T15:30:00,MSFT,633,335.74,TR646,BATS
T18,2025-12-09T10:30:00,AAPL,177,258.02,TR376,BATS
T19,2025-12-10T11:30:00,NVDA,234,358.08,TR963,NASDAQ
T20,2025-12-01T12:30:00,AAPL,851,64.45,TR423,NYSE
T21,2025-12-02T13:30:00,SPY,77,144.94,TR680,BATS
T22,2025-12-03T14:30:00,SPY,227,344.95,TR505,BATS
T23,2025-12-04T15:30:00,TSLA,156,169.2,TR352,BATS
T24,2025-12-05T10:30:00,NVDA,561,168.23,TR698,NYSE
T25,2025-12-06T11:30:00,NVDA,418,212.9,TR241,BATS
T26,2025-12-07T12:30:00,TSLA,103,390.1,TR981,NASDAQ
T27,2025-12-08T13:30:00,AAPL,652,121.99,TR796,NYSE
T28,2025-12-09T14:30:00,NVDA,75,223.15,TR710,NYSE
T29,2025-12-10T15:30:00,NVDA,267,486.99,TR981,NASDAQ
T30,2025-12-01T10:30:00,MSFT,708,448.15,TR868,NYSE
T31,2025-12-02T11:30:00,SPY,124,182.08,TR261,NYSE
T32,2025-12-03T12:30:00,MSFT,986,374.94,TR836,NYSE
T33,2025-12-04T13:30:00,NVDA,790,130.39,TR208,BATS
T34,2025-12-05T14:30:00,SPY,871,337.53,TR723,NASDAQ
T35,2025-12-06T15:30:00,AAPL,392,393.13,TR652,BATS
T36,2025-12-07T10:30:00,MSFT,623,195.87,TR119,NASDAQ
T37,2025-12-08T11:30:00,SPY,909,493.39,TR926,NYSE
T38,2025-12-09T12:30:00,AAPL,69,158.39,TR680,NASDAQ
T39,2025-12-10T13:30:00,MSFT,759,268.7,TR170,BATS
T40,2025-12-01T14:30:00,AAPL,141,346.89,TR662,NASDAQ
T41,2025-12-02T15:30:00,SPY,550,442.59,TR533,NASDAQ
T42,2025-12-03T10:30:00,NVDA,783,378.47,TR305,BATS
T43,2025-12-04T11:30:00,SPY,418,497.82,TR765,NYSE
T44,2025-12-05T12:30:00,TSLA,931,282.91,TR223,NASDAQ
T45,2025-12-06T13:30:00,AAPL,75,202.14,TR702,BATS
T46,2025-12-07T14:30:00,AAPL,612,149.1,TR172,BATS
T47,2025-12-08T15:30:00,MSFT,244,80.33,TR132,NYSE
T48,2025-12-09T10:30:00,MSFT,536,157.1,TR785,NYSE
T49,2025-12-10T11:30:00,AAPL,562,109.54,TR684,BATS
T50,2025-12-01T12:30:00,TSLA,258,403.08,TR926,NYSE
T51,2025-12-02T13:30:00,AAPL,106,93.62,TR541,NYSE
T52,2025-12-03T14:30:00,TSLA,430,260.16,TR846,NASDAQ
T53,2025-12-04T15:30:00,MSFT,72,231.18,TR447,NASDAQ
T54,2025-12-05T10:30:00,AAPL,206,135.59,TR559,NASDAQ
T55,2025-12-06T11:30:00,TSLA,197,175.35,TR355,NASDAQ
T56,2025-12-07T12:30:00,TSLA,837,437.61,TR663,NASDAQ
T57,2025-12-08T13:30:00,MSFT,677,499.68,TR956,NASDAQ
T58,2025-12-09T14:30:00,MSFT,958,389.1,TR342,NASDAQ
T59,2025-12-10T15:30:00,TSLA,507,266.61,TR985,NYSE
T60,2025-12-01T10:30:00,MSFT,178,220.54,TR499,NYSE
T61,2025-12-02T11:30:00,TSLA,302,240.35,TR848,BATS
T62,2025-12-03T12:30:00,TSLA,168,135.45,TR322,NASDAQ
T63,2025-12-04T13:30:00,NVDA,763,293.99,TR865,NYSE
T64,2025-12-05T14:30:00,MSFT,61,312.88,TR614,BATS
T65,2025-12-06T15:30:00,AAPL,68,482.35,TR182,NASDAQ
T66,2025-12-07T10:30:00,MSFT,619,80.58,TR982,NASDAQ
T67,2025-12-08T11:30:00,TSLA,132,473.72,TR683,NASDAQ
T68,2025-12-09T12:30:00,NVDA,618,67.88,TR183,NYSE
T69,2025-12-10T13:30:00,NVDA,588,285.25,TR367,NASDAQ
T70,2025-12-01T14:30:00,SPY,254,169.53,TR234,BATS
